route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
325-221,6314-f68844b8,Ravenna Way,42,0.34754997396724335,1.3833333333333333
325-221,6316-e031d244,Bible Baptist Church,43,0.36004777586924563,1.4666666666666666
325-221,6344-8bba0f4f,Dawson Road Shopping Centre,44,0.27151357302330464,1.1
325-221,6444-f211775a,Dissmeyer Drive,45,0.216734220050821,0.8666666666666667
325-221,6476-630c603a,Chapel Downs Primary/Dawson Road,46,0.3266186510434925,1.4666666666666666
325-221,6304-b491a052,Alta Terrace,47,0.1955892669309008,0.9
325-221,6937-7756dec1,Boundary Road,48,0.2444855874291724,1.0
325-221,6315-f9257b12,Hollyford Drive,49,0.2775988136357911,1.4333333333333333
325-221,6310-1e66e400,Hollyford Drive/Te Iririrangi Drive,50,0.49829666957567365,2.283333333333333
325-221,6189-e026c154,Manukau Sports Bowl,51,0.23661679190637716,1.35
325-221,6199-1aabca66,Redoubt North School,52,0.19413858528351294,0.8
325-221,6381-7b3aabe8,Courant Place,53,0.21665973220567686,0.9333333333333333
325-221,6379-a4062eae,Derrimore Heights,54,1.1997421856157655,5.9
325-221,1810-080e8faf,Bay 10 Manukau Bus Station,55,,
871-202,4225-d1316454,Stop C Constellation,1,0.30903665261053725,0.6333333333333333
871-202,4458-e5b736af,North Shore Police Station,2,0.3754080175482193,0.5833333333333334
871-202,3206-16df0c8b,Ramp Road,3,0.4892084304972481,0.8
871-202,3210-2b9d2ac5,Altair Place,4,0.43769047625750335,0.8666666666666667
871-202,3191-dee6964d,Galaxy Drive,5,0.23297980772790422,0.4
871-202,3193-ea2ba969,Kowhai Road,6,0.46621932582554215,0.6166666666666667
871-202,3195-c2ba0548,Sunnynook Road,7,0.2941223061124225,0.45
871-202,3197-cd3bc2de,Pupuke Golf Club,8,0.49497458969402713,0.9666666666666667
871-202,3201-739f7c4c,Forrest Hill Road/Greville Reserve,9,0.42084816285653204,0.6833333333333333
871-202,3224-f7a7d070,Forrest Hill Road/Blakeborough Drive,10,0.40803245033545466,0.65
871-202,3205-80178692,Richards Avenue,11,0.4051297825940393,0.6666666666666666
871-202,3207-3235a190,Forrest Hill Church,12,0.23461276565666075,0.38333333333333336
871-202,3209-30e9456f,Tristram Avenue,13,0.16517786184843788,0.26666666666666666
871-202,3211-761d634d,Bond Crescent,14,0.2952527971554482,0.5
871-202,3213-8a18f0f6,Forrest Hill School,15,0.40440425129552365,0.6833333333333333
871-202,3215-b9dc9e67,Westlake Boys High School,16,0.20133374476325952,0.31666666666666665
871-202,3217-f51601d2,Wairau Road,17,0.5263609785795851,1.5333333333333334
871-202,3353-6403c547,Stop D Smales Farm,18,0.3142542791330739,1.3833333333333333
871-202,3345-fcb40011,Shea Terrace,19,0.2426200714169973,0.7333333333333333
871-202,3347-1681eb42,Northcote Road,20,0.3583484640498977,1.1
871-202,3349-37cac237,Taharoto Park,21,0.22831218541669837,0.7
871-202,3351-f85fcd38,St Joseph's Catholic Church,22,0.4096822696963777,1.3666666666666667
871-202,3277-dda3fc65,Barrys Point Road,23,0.3029517823221747,0.9166666666666666
871-202,3273-329359f7,Takapuna Primary School,24,0.20981141354044217,0.8
871-202,3410-d876affc,Stop D Takapuna,25,,
18-202,1004-42737000,Stop C Lower Albert,1,0.37022543930112184,1.4
18-202,1378-a2feea70,Hobson Street,2,0.48493521047872223,1.5666666666666667
18-202,7082-6e0c4fef,St Matthews-in-the-City,3,0.27036077538065206,0.8333333333333334
18-202,7084-4da5d2dd,Nicholas Street,4,0.33476976946091824,1.0666666666666667
18-202,1524-2e7e0ebb,YMCA,5,0.40482603157260777,1.6
18-202,7136-7b4dffe1,Rainbow Bridge/Karangahape Road,6,0.35353172629978147,1.1
18-202,8100-08cef0ad,Ponsonby Road,7,0.22991832749556934,0.7166666666666667
18-202,8102-7250bcd8,Burns Street,8,0.29926954650143445,0.9
18-202,8104-8bfd88ba,Sussex Street,9,0.21061994640291629,0.65
18-202,8106-95c39e43,King Street,10,0.23543864541565296,0.7333333333333333
18-202,8108-01016126,Bond Street,11,0.39488127403910106,1.2333333333333334
18-202,8112-dbbd55df,St Joseph's Church,12,0.2565964383455886,0.85
18-202,8114-f4e4a02c,Great North Road/Grey Lynn Shops,13,0.2835390592949523,1.05
18-202,8118-170afaad,Great North Road/Grey Lynn School,14,0.44293182113143137,1.4333333333333333
18-202,8120-1485cc06,Bullock Track,15,0.6213975895883466,1.8333333333333333
18-202,8122-89235838,Western Springs Park & MOTAT,16,0.43734956392840807,1.4
18-202,8124-c7d84961,Auckland Zoo,17,0.35220969274950753,1.0833333333333333
18-202,8126-d353d90c,Pasadena Shops,18,0.21435861081853844,0.6666666666666666
18-202,8128-bec6b4a3,Walmer Road,19,0.21949464493850776,0.6833333333333333
18-202,8130-197d3cff,Great North Road/Pt Chevalier Shops,20,1.0762445781238392,3.75
18-202,8132-46c03167,Herdman Street,21,0.3019615541798178,0.9666666666666667
18-202,8134-fd417f44,Alford Street,22,0.284590793724062,0.8666666666666667
18-202,8136-f36662e2,Waterview Methodist Church,23,0.21046245020941654,0.65
18-202,8138-3f3dcfb1,Fairlands Avenue,24,0.36515553366820563,1.1166666666666667
18-202,8140-1818ae69,Great North Road/Roberton Road,25,0.5346053392090307,1.6
18-202,8142-aab979d3,Avondale Family Health Centre,26,0.20620212010374178,0.48333333333333334
18-202,8144-318f10bd,Avondale Police Station,27,0.3452143417513184,1.2166666666666666
18-202,8146-7c100ff5,Stop B Avondale,28,0.4060304002047032,1.3
18-202,1862-b5bd1852,St Jude Street,29,0.3550065974510809,1.0833333333333333
18-202,8148-632a4026,St Mary's School,30,0.49986269593631444,1.5
18-202,5814-a272cda1,Portage Road,31,0.26361225017920015,1.1166666666666667
18-202,1559-6e325d8d,Lynnmall - The Brickworks,32,0.4246622786092181,1.55
18-202,5912-51462bce,Stop D New Lynn,33,,
INN-202,7107-14d27628,Victoria Park Market,1,0.5597689564827979,3.783333333333333
INN-202,7142-fda95eea,Customs Street West,2,0.7336671894625119,4.2
INN-202,7018-d16cf618,Britomart Queens Arcade,3,0.575151745683905,2.4
INN-202,7182-0fbc607f,Spark Arena,4,0.3216736392986135,1.3333333333333333
INN-202,7184-c6244f90,Churchill Street,5,0.36874041024396703,1.6833333333333333
INN-202,7186-3fbf7df1,Fraser Park,6,0.1583668169274583,0.6833333333333333
INN-202,7188-61059b9a,Parnell Shops,7,0.4101719553735224,1.65
INN-202,7190-8761fc5a,Scarborough Lane,8,0.2267120447119529,0.9333333333333333
INN-202,7192-afd38da5,St Georges Bay Road,9,0.20702329911937334,0.8666666666666667
INN-202,7194-97deb9d2,Holy Trinity Cathedral,10,0.1873511172378828,0.7833333333333333
INN-202,7196-f5b8e4d9,Ayr Street,11,0.33005016073901544,1.3333333333333333
INN-202,7198-a09a150d,Parnell Library,12,0.35274795861927105,1.4666666666666666
INN-202,7200-8f6dbe22,Olympic Pool,13,0.497089971931876,1.9833333333333334
INN-202,7204-fea806bd,Stop C Westfield Newmarket,14,0.20919970417271477,0.8666666666666667
INN-202,7208-72f6415f,Clovernook Road,15,0.2580274350892739,2.9
INN-202,7203-52127399,Stop A Westfield Newmarket,16,0.3136931083940324,1.8333333333333333
INN-202,7201-b3efdf9d,Khyber Pass Road,17,0.3085800561830452,2.0833333333333335
INN-202,7177-4660a5ff,Melrose Street,18,0.40072295820497666,2.6166666666666667
INN-202,7231-d0b82ab5,Grafton Station,19,0.5032142012778876,3.183333333333333
INN-202,7227-3ccd581c,Park Road/Auckland City Hospital,20,0.6401532619109338,3.65
INN-202,1086-7cb98707,Symonds Street Cemetery,21,0.2919094535445621,1.7166666666666666
INN-202,7130-50c017db,Pitt Street,22,0.31521413158992073,1.55
INN-202,7134-3cc678cc,Rainbow Bridge/Karangahape Road,23,0.3845315697804834,2.0
INN-202,7212-9f5ed9ad,Ponsonby Road/Karangahape Road,24,0.3365715435657427,1.5833333333333333
INN-202,7214-56f7c5db,Ponsonby Road/Western Park,25,0.2605398206917279,1.2666666666666666
INN-202,7216-2fea78e2,Ponsonby Road/Picton Street,26,0.4222459103139504,1.9666666666666666
INN-202,7218-8c2578c2,Summer Street,27,0.1907345575805552,0.9333333333333333
INN-202,7220-59991287,Ponsonby Methodist Church,28,0.18468571024545286,0.9166666666666666
INN-202,7222-cf6ea570,All Saints Anglican Church,29,0.2574760383797476,1.7833333333333334
INN-202,7113-084b368e,Three Lamps,30,0.35073328395402625,4.533333333333333
INN-202,7111-398e6ec5,Mercy Hospice,31,0.22456605063719703,3.0
INN-202,7109-13c2b0c9,Gudgeon Street,32,0.3610597322018408,4.466666666666667
INN-202,7107-14d27628,Victoria Park Market,33,,
323-221,1775-79982353,Stop A Otahuhu Station,1,0.7452356584938117,2.85
323-221,7952-fe4f53b2,Otahuhu Library,2,0.25262211462460427,0.85
323-221,1356-0146ace9,Stop B Otahuhu Town Centre,3,0.2587883812040221,1.2333333333333334
323-221,1327-82347e1f,Atkinson Avenue,4,0.3335261584222095,1.3
323-221,7645-4a88e414,Huia Road,5,0.1888872229336122,0.6333333333333333
323-221,7643-1b9fbc5b,Hauiti Road,6,0.13534897462820836,0.45
323-221,1737-4779f790,Hokonui Road,7,0.13785415725437405,0.48333333333333334
323-221,7641-a8f91fcf,Great South Road/Portage Road,8,0.39924452866496235,1.3833333333333333
323-221,7639-cf8d6824,Abattoir Lane,9,0.30171409293596635,1.0166666666666666
323-221,1335-3de397cb,Mount Richmond Drive,10,0.3015002715692929,1.3666666666666667
323-221,8796-99b6624b,Vestey Drive/Great South Road,11,0.32729821793403857,1.2333333333333334
323-221,1888-5862b89e,Niall Burgess Road/Vestey Drive,12,0.3603710327941886,1.2
323-221,7900-3f7cc5c1,Mount Wellington Highway,13,0.34890283073065,0.8
323-221,7902-faf05419,Hillside Road,14,0.441992472085481,1.3333333333333333
323-221,7904-5a4b0b4c,Mataroa Road,15,0.18088125184555578,0.4166666666666667
323-221,7906-8b147537,Flat Rock Reserve,16,0.3867640750169923,0.8666666666666667
323-221,7908-8f0cc299,Kealy Road,17,0.35094455139230746,1.0
323-221,7910-7d42b612,Runa Place,18,0.41329657300299777,1.0166666666666666
323-221,7912-f26dafae,Bernard Street,19,0.32742963023498334,0.8833333333333333
323-221,7914-38a4404c,Carbine Road/Panama Road,20,0.524502695128858,1.2
323-221,7922-7af7d4f5,Gabador Place,21,0.5299315982240964,1.2333333333333334
323-221,7924-9c2ca0dd,Arthur Brown Place,22,0.6217892095710073,1.4166666666666667
323-221,7926-48164069,Allright Place,23,0.6780693836248601,1.9166666666666667
323-221,7812-cc9f15b5,Mount Wellington Shopping Centre,24,0.3601985096711135,0.8166666666666667
323-221,7814-03fbbf1d,133 Mount Wellington Highway,25,0.44423015158529705,1.0166666666666666
323-221,7816-9c493ff7,Panmure District School,26,0.7132857543049025,2.0833333333333335
323-221,1759-1cb249c7,Stop B Panmure Station,27,,
783-221,7345-819d6e62,Stop A St Heliers,1,1.0030996390988132,2.816666666666667
783-221,7990-ef7f5bb4,Allum Street,2,0.24754922757309514,0.55
783-221,7992-e4d29cde,Madills Farm,3,0.25393668513500517,0.5333333333333333
783-221,7994-3afb0eec,Melanesia Road Shops,4,0.266921100461706,0.65
783-221,7996-ba6afda6,Tamaki Drive,5,0.25788972115339187,0.6333333333333333
783-221,7335-5bac9e11,Tamaki Drive/Kohimarama Road,6,0.24599120613703726,0.5333333333333333
783-221,7333-daa9e8ea,163 Tamaki Drive,7,0.22267911192697998,0.6
783-221,7331-6fef8ef3,Selwyn Avenue,8,0.30086063616008496,0.7166666666666667
783-221,7244-2a41c4db,Stop D Mission Bay,9,0.3630225285907312,0.8166666666666667
783-221,7860-6e480923,Patteson Avenue,10,0.23568311174559795,0.5
783-221,7862-3d68635f,Atkin Avenue,11,0.23990865161990882,0.5333333333333333
783-221,7864-5f5fadec,Rukutai Street,12,0.10749829190122306,0.31666666666666665
783-221,7866-61619188,Aotea Street,13,0.13134829074525417,0.5
783-221,7868-6d06ae94,Eastcliffe Retirement Village,14,0.1481058898128357,0.3
783-221,7870-9375a798,Kurahaupo Street,15,0.16408948711895927,0.45
783-221,7872-5261c986,Te Arawa Street,16,0.1815117703092711,0.4
783-221,7874-9399f605,Orakei Baptist Church,17,0.23167014995437094,0.5
783-221,7876-b408fc8f,Tokomaru Street,18,0.2159821790895469,0.4666666666666667
783-221,7878-65f0f0fa,Orakei Community Centre,19,0.10384614373777525,0.3333333333333333
783-221,7859-74b323e6,Kepa Road/Orakei Shops,20,0.3603719900678665,0.8333333333333334
783-221,7857-4c325d6a,Kepa Road/Eastridge Shopping Centre,21,0.11581916566460643,0.31666666666666665
783-221,7855-006bf798,Kepa Road/Eastridge Shopping Centre,22,0.2223637289663791,0.5833333333333334
783-221,7853-9045338b,Kepa Bush Reserve,23,0.33773438328986843,0.8666666666666667
783-221,7851-531bea14,Kepa Road Shops,24,0.27232928773383835,0.75
783-221,1030-2d11fbea,Kohimarama Road/Selwyn College,25,0.3318009184365063,0.85
783-221,7614-93233929,St Thomas's School,26,0.36204110088094743,0.9333333333333333
783-221,7845-e83dec0d,299 Kohimarama Road,27,0.2966643153518887,0.8833333333333333
783-221,7843-672ae380,St Thomas' Church,28,0.34766382653882866,0.9
783-221,7841-6dd5921d,Glen Atkinson Street,29,0.25295014091976475,0.6666666666666666
783-221,7839-73db938e,West Tamaki Road,30,0.2196600660583456,0.55
783-221,7741-40a9bd96,Maxine Place,31,0.35725825305374004,0.9166666666666666
783-221,7739-6c1e0ef1,St Heliers Bay Road/Long Drive,32,0.24876834571749523,0.6333333333333333
783-221,1895-9e99a84f,Grace Joel Retirement Village,33,0.3470590680902371,1.0666666666666667
783-221,7242-4f2a3e38,Riddell Road/Sierra Street,34,0.2313933704985166,0.6
783-221,8860-e1bcc52d,Riddell Road/Kesteven Avenue,35,0.3076450300858754,0.7833333333333333
783-221,7383-984d42c9,Riddell Road/Rochdale Avenue,36,0.1716847211768325,0.43333333333333335
783-221,7381-50771c9e,Grantham Road,37,0.31033988006449154,0.7833333333333333
783-221,7379-1ed0c17a,134 Riddell Road,38,0.16298595068256277,0.45
783-221,7377-d7d05754,Glendowie Park,39,0.2346854317898695,0.6666666666666666
783-221,7375-ab59a596,Roberta Reserve,40,0.1949590009388253,0.55
783-221,7373-bff04748,Glendowie Road,41,0.22003117618526713,0.6
783-221,7371-5cf8a013,Riddell Road/Whitehaven Road,42,0.28939866575811035,0.7666666666666667
783-221,7369-ff933fe5,Clouston Street,43,0.21575581893726334,0.5833333333333334
783-221,7367-b068adc2,294 Riddell Road,44,0.3333628088804124,0.8833333333333333
783-221,7365-8d06aa81,Churchill Park,45,0.2347035350335844,0.6166666666666667
783-221,7363-f818c8ab,Peacock Street,46,0.26785303868032995,0.7333333333333333
783-221,7361-984d769a,Abingdon Place,47,0.2720326107983558,0.8333333333333334
783-221,7359-ec999925,Karaka Park Place,48,0.1382848881384103,0.4666666666666667
783-221,7357-1761e727,438 Riddell Road,49,0.23092416069776653,0.65
783-221,7355-0b173a06,Glover Park,50,0.17309118807196788,0.45
783-221,7353-5f7320bc,Waimarie Street,51,0.27169923855091743,0.7333333333333333
783-221,7351-03c38c34,Bay Road,52,0.2132147430063185,0.5333333333333333
783-221,7349-b12504e1,19 Bay Road,53,0.28356682347377415,0.8333333333333334
783-221,7347-07852b69,Rarangi Road,54,0.4334992208265102,1.1333333333333333
783-221,7345-819d6e62,Stop A St Heliers,55,,
372-203,2522-d7d47f16,Papakura Anglican Church,1,0.35070567149291965,0.85
372-203,2520-72ead39b,Papakura Shops,2,0.35671480984645254,1.15
372-203,2716-29bbacfe,Papakura Station,3,0.19001792886772503,0.48333333333333334
372-203,2553-f0487be1,Countdown Papakura,4,0.418268846151407,1.1833333333333333
372-203,2598-d4c53527,Papakura High School,5,0.4648036175119857,1.0166666666666666
372-203,2562-f458ed8b,Willis Road/Laurie Avenue,6,0.2657015517045674,0.5833333333333334
372-203,2702-e2c1b9d8,Cameron Street,7,0.19536722173255838,0.5333333333333333
372-203,2596-d2cbfe73,Sheehan Avenue/Kelvin Road,8,0.41581395568831686,0.9333333333333333
372-203,2560-d0b0920d,Eastburn Street,9,0.25637069284422503,0.85
372-203,2573-6a48937f,Healthdale Crescent,10,0.21123469677676796,0.4666666666666667
372-203,2709-9c9a5d79,President Avenue,11,0.37657577184996566,0.8666666666666667
372-203,2723-08f30340,Cargill Street,12,0.27789495184442586,0.8
372-203,2557-c7f0442e,Robb Street,13,0.548924927599424,1.25
372-203,2721-ebf0e8ea,Clevedon Road/Busing Avenue,14,0.32263598736810817,0.7166666666666667
372-203,2609-5411a0b6,Clevedon Road/Kelvin Road,15,0.3025830355162664,0.6666666666666666
372-203,2629-38e9a598,51 Clevedon Road,16,0.2240486588838452,0.5166666666666667
372-203,2719-c8a4935a,Shirley Avenue,17,0.2220791019029087,0.5
372-203,2717-74c8ed82,Clevedon Road Medical Centre,18,0.43392357170082185,1.6333333333333333
372-203,2716-29bbacfe,Papakura Station,19,0.19001792886772503,0.8833333333333333
372-203,2553-f0487be1,Countdown Papakura,20,0.46400146558211774,2.1166666666666667
372-203,2628-9c2eb446,Counties Medical,21,,
923-202,7038-5a158f6f,AUT,1,0.42656922933960456,1.7333333333333334
923-202,1332-06829269,SkyCity Auckland,2,0.14871525775773278,1.6666666666666667
923-202,1088-d1b8ae2b,International Convention Centre,3,0.4382787711690092,2.533333333333333
923-202,1334-c70b5c82,Halsey Street/Victoria Park,4,0.29045573150578624,2.066666666666667
923-202,7036-f1ffa0be,Fanshawe Street/Victoria Park,5,3.782835453386648,4.0
923-202,3923-1f387077,Onepoto Domain,6,0.20812903254406745,0.5333333333333333
923-202,4046-d74546b1,18 Sylvan Avenue,7,0.3102936614475301,0.7
923-202,4044-66ff6f5f,Heath Avenue,8,0.31338154680185465,0.6666666666666666
923-202,3915-b17bafd6,McBreen Avenue,9,0.21882498219252067,0.4166666666666667
923-202,3913-f3c0d07e,Deuxberry Avenue,10,0.32512058479033074,0.6333333333333333
923-202,3911-c3e4720e,Howard Road,11,0.17624680575599763,0.35
923-202,3909-6dcf3283,College Road,12,0.100114251475001,0.45
923-202,4171-42316c44,Pearn Crescent,13,0.12620832965047799,0.23333333333333334
923-202,3941-52831690,Stop D Northcote,14,0.19011100079220816,1.5
923-202,4034-fc554a4b,Lake Road,15,0.48091403581086734,0.5666666666666667
923-202,4032-fb26e128,Potter Avenue,16,0.07601244186186373,1.1666666666666667
923-202,3859-20f73eed,Pupuke Road,17,0.391774216127882,1.1166666666666667
923-202,3861-defe493b,Alton Avenue,18,0.16506779803327268,0.6
923-202,3970-5dbda3f6,Ocean View Road,19,0.43479933009103566,1.3
923-202,3972-09f49f1b,Willow Park School,20,0.24441256309956935,0.75
923-202,3974-4d147261,Sylvia Road/Lynden Avenue,21,0.35845388760611724,1.05
923-202,3976-999419f7,Hillcrest Avenue,22,0.21647200046306225,0.75
923-202,3730-7815786c,Hillcrest Avenue/Holland Road,23,0.40697440575341054,1.5833333333333333
923-202,3946-d7a4e608,Tye Road,24,0.2188934303059216,0.8333333333333334
923-202,3811-a8956735,Sunnybrae Road/Holland Road,25,0.3139259603963851,0.9
923-202,3813-c4efbe50,Sunnybrae Normal School,26,0.2382363486131059,0.7
923-202,3815-a898881d,Evelyn Place,27,0.276964307046868,0.8
923-202,4256-dde13724,Akoranga Drive/Onewa Domain,28,0.43935611771467803,1.2833333333333334
923-202,4056-de4dabbe,Kitewao Street,29,0.3916922720039239,1.2166666666666666
923-202,4054-88e31ac2,AUT North Shore Gate 1,30,0.24429934807306855,0.75
923-202,4319-bd819ef2,AUT North Shore Gate 2,31,0.4079595561222162,2.1333333333333333
923-202,4087-ec6d4a67,Stop D Akoranga,32,,
782-221,7238-8cbd6ca4,Stop A Sylvia Park,1,0.26445199449381873,0.7833333333333333
782-221,7810-28f9fa52,Longford Street,2,0.29630217676369125,0.43333333333333335
782-221,7303-65bd6ef3,Countdown Mount Wellington,3,0.33962951850379525,1.2
782-221,1865-17907efc,Wilson Way,4,0.3030815957011658,0.8
782-221,1601-ca615693,Barrack Road/Penrose Road,5,0.2130550124062902,0.48333333333333334
782-221,7299-9907e4f7,Barrack Road/Boakes Road,6,0.3104026890785348,0.8833333333333333
782-221,7497-1d41503b,45 Boakes Road,7,0.16022514386122746,0.45
782-221,7804-59fd7b80,Harwood Road/Boakes Road,8,0.2222519743693953,0.5833333333333334
782-221,7898-ec82737f,Almond Place,9,0.2250709334400446,0.5333333333333333
782-221,7596-8b8b2912,Ferndale Road,10,0.2233367167591313,0.5833333333333334
782-221,7457-c23e60a3,Faber Avenue,11,0.2413809513990996,0.55
782-221,7495-5e97d096,Stanhope Road School,12,0.28634410272825195,0.8333333333333334
782-221,7515-b4111e45,Harrison Road,13,0.45622438854209646,1.05
782-221,7513-e09ddd20,Ballarat Street,14,0.2885976800006052,0.7
782-221,7511-c8760fea,Ellerslie Park Road,15,0.5201925788530086,1.25
782-221,7509-6b201da2,Ellerslie Domain,16,0.44594230467118223,1.0166666666666666
782-221,7505-04bee04b,Stop A Ellerslie,17,0.5451477622884424,1.7333333333333334
782-221,7460-0e34eb44,Morrin Street,18,0.23470867715712793,0.5333333333333333
782-221,7462-13e4427d,Derby Downs Place,19,0.508254701332107,1.7166666666666666
782-221,7706-942b3374,Koraha Reserve,20,0.3260043031539529,0.7333333333333333
782-221,7708-5530aec1,Grand Drive,21,0.31349720391278596,0.8333333333333334
782-221,7712-9b6a743b,Winhall Rise,22,0.6104319894360467,1.3666666666666667
782-221,7716-7b499212,Towle Place,23,0.4807729548524215,1.05
782-221,7720-182be627,Rosepark Crescent,24,0.1507740604852659,0.65
782-221,1897-db318cd7,Gerard Way/Norman Lesser Drive,25,0.2028358218328154,0.6833333333333333
782-221,7433-fe742429,Meadowbank Shopping Centre,26,0.2618864964236744,0.9333333333333333
782-221,7564-e61df501,Mount Carmel Place,27,0.1901842225924368,0.43333333333333335
782-221,7566-d48760e7,Mount Carmel School,28,0.2535266542420758,0.6666666666666666
782-221,7568-4d89ad44,Bonnie Brae Reserve,29,0.21513835484699034,0.55
782-221,7570-82225fe4,Bonnie Brae Road/Meadowbank Road,30,0.10026085525899879,0.3333333333333333
782-221,7592-0ff20dc3,Meadowbank Retirement Village,31,0.26809488553862604,0.6333333333333333
782-221,7589-b74bc2c3,Meadowbank Station,32,0.3840379548637819,1.3333333333333333
782-221,7572-4526e82f,Tahapa Crescent,33,0.348853978191947,1.2333333333333334
782-221,7574-30aa2406,Temple Street,34,0.27218627872326584,1.0
782-221,7576-a718ccca,Meyrick Place,35,0.18346456367318809,0.7666666666666667
782-221,7578-013df524,Parsons Road,36,0.3338457376135627,1.05
782-221,7580-ef58c51b,Tipene Place,37,0.20638845835962047,0.7
782-221,7582-29c63785,Houghton Street,38,0.40142454297629254,1.2
782-221,7584-bc410d34,148 Gowing Drive,39,0.17464147815598888,0.5666666666666667
782-221,7586-94b9f13a,Worchester Road,40,0.22193503600301354,0.7666666666666667
782-221,7588-39315639,St Johns Road,41,0.1820799955101326,0.7
782-221,7590-f136351c,Felton Matthew Avenue,42,0.7042148595583806,2.316666666666667
782-221,7838-191c25de,299 Kohimarama Road,43,0.3608322921428753,1.1
782-221,7840-d0480ecf,St Thomas's School,44,0.22884891292228712,0.7166666666666667
782-221,7842-c2a88ca3,Kohimarama Road/Selwyn College,45,0.15760189087791082,0.5
782-221,7844-3340f594,Barfoot and Thompson Stadium,46,0.4665318739685428,1.5
782-221,7846-c3957290,Kepa Bush Reserve,47,0.2893780519923001,0.95
782-221,7854-f7a4dc2e,Godden Crescent,48,0.3817346727746611,1.15
782-221,7856-a240a73b,Patteson Reserve,49,0.2730429136411767,0.8166666666666667
782-221,7858-94b28646,Codrington Crescent,50,0.535995127920355,1.6333333333333333
782-221,7245-f6367131,Stop C Mission Bay,51,,
97R-203,1006-3a3acd71,Stop E Lower Albert,1,0.4184070327787259,1.5666666666666667
97R-203,7034-7b36cf5b,Bradnor Lane,2,0.680364407906891,2.433333333333333
97R-203,7036-f1ffa0be,Fanshawe Street/Victoria Park,3,3.8285252524182782,6.416666666666667
97R-203,4086-e3011afc,Bruce Street,4,0.2698728784029478,0.35
97R-203,4074-7874377f,Northcote Primary School,5,0.4380543215090535,0.5833333333333334
97R-203,4076-af729862,St Mary's Catholic Church,6,0.23198811274561076,0.31666666666666665
97R-203,4078-48253b25,Onewa Road/Northcote College,7,0.25871144315087125,0.3333333333333333
97R-203,4080-a0eeb155,Park Avenue,8,0.3124628580453304,0.4166666666666667
97R-203,4082-99e2cd3a,Aorangi Place,9,0.19764927621098954,0.26666666666666666
97R-203,4084-21e50969,Birkenhead Avenue,10,0.13848746629732764,0.3
97R-203,3901-2273ccaa,Highbury Shops,11,0.20093389014628993,1.5
97R-203,4106-08f45c4d,Birkenhead Square,12,0.37892872046559245,1.8166666666666667
97R-203,4110-651b98e2,Willow Avenue,13,0.4987193362916154,2.283333333333333
97R-203,4210-0897c372,Roseberry Avenue,14,0.26722212696760334,1.2333333333333334
97R-203,4013-e1e209c3,New World Birkenhead,15,0.17077447995842127,0.8666666666666667
97R-203,4130-04adb43d,Balmain Road,16,0.29421460473259425,1.3666666666666667
97R-203,4132-c8d174e5,Kauri Road,17,0.2571832527691517,1.4833333333333334
97R-203,4134-b2f9e4dd,Verrans Corner,18,0.3434250907947505,0.6833333333333333
97R-203,4136-584fee75,Monte Cassino Place,19,0.21848252327196677,0.48333333333333334
97R-203,4138-05f6e2fd,Island Bay Road,20,0.36303993685638625,0.7833333333333333
97R-203,4140-889d6715,Kia Ora Road,21,0.46494548613835757,0.9333333333333333
97R-203,4142-d02ffb3f,Gemini Place,22,0.3688790328000593,0.7333333333333333
97R-203,4144-96fc24ed,Lysander Crescent,23,0.35146841465511136,0.6666666666666666
97R-203,4146-c1eb3b38,Aeroview Drive,24,0.4510245751998824,0.9
97R-203,4148-07d1efc8,Gilpin Place,25,0.29196589806625617,0.5666666666666667
97R-203,4150-d757be57,Beach Haven Shops,26,0.25381351533142293,0.5833333333333334
97R-203,4160-a31e33ba,Shepherds Park,27,0.3200319477882978,0.5166666666666667
97R-203,4045-e42aa262,Maria Assumpta Catholic Church,28,0.24396170417017626,0.5833333333333334
97R-203,4162-cd16a9b1,Lancaster Road,29,0.35699500309833504,0.7833333333333333
97R-203,4051-6b837746,Birkdale Bible Chapel,30,0.4911563611825597,0.95
97R-203,4053-733e0345,Levesque Street Shops,31,0.20800313873972567,0.4166666666666667
97R-203,4055-0b1f11a6,Birkdale Road/Eskdale Road,32,0.3514673399313688,0.6833333333333333
97R-203,4057-c29d55ee,Tiri Tiri Road,33,0.3367785868949796,0.7166666666666667
97R-203,4059-dfec0f53,Birkdale Primary School,34,0.38991763441265964,0.7
97R-203,4061-a1838dbd,Gatman Street,35,0.3126719727594699,0.7666666666666667
97R-203,4021-1281a1ab,Verrans Corner,36,,
362-203,1817-21c13850,Bay 17 Manukau Bus Station,1,0.9617773612017144,4.35
362-203,2144-f41225ff,Events Centre,2,0.3954832979670714,1.1166666666666667
362-203,6030-4ac478ba,Kerrs Road,3,0.6154104179323138,1.6833333333333333
362-203,6888-50de093b,Manukau SuperClinic,4,0.2894356024958112,0.8166666666666667
362-203,6032-f087a2c8,Orams Road/Manukau Superclinic,5,0.26608890398453416,0.7333333333333333
362-203,6034-32537549,Great South Road/Grande Vue Road,6,0.3611520404164509,1.0
362-203,6036-5e3a267c,Halsey Road,7,0.4210189329879114,1.15
362-203,6038-926fe1f9,Kelvyn Grove,8,0.13938554752742002,0.5
362-203,2290-f342b6c3,Maich Road,9,0.17735403619483678,0.6833333333333333
362-203,2473-358e0fc9,Station Road,10,0.23712335851619895,0.95
