route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
650-202,8069-bd0dc0bc,Green Lane West/Great South Road,24,1.2427001845737324,3.25
650-202,8067-636ab473,Outside Greenlane Clinical Centre,25,0.5772876555205132,1.5
650-202,8065-8436b7f8,Manukau Road,26,0.3979384880348647,1.0333333333333334
650-202,8063-bf83ffb5,The Drive,27,0.3744993172960689,0.9833333333333333
650-202,8061-d8a0db0f,Balmoral Road/St Andrews Road,28,0.276753481208429,0.7166666666666667
650-202,8059-286a082c,Kakariki Avenue,29,0.3438368400333399,0.9
650-202,1076-28bf2023,Balmoral Heights Reserve,30,0.33733226284614815,0.8666666666666667
650-202,8055-878b24f2,Henley Road,31,0.28501963985962897,0.75
650-202,8053-24968585,Matipo Street,32,0.5082542517287814,1.3166666666666667
650-202,8051-0a88b3c6,Balmoral Road/Dominion Road,33,0.3754648659139609,0.9833333333333333
650-202,8049-df650ebd,Bharatiya Mandir Temple,34,0.24749506061253337,0.6333333333333333
650-202,8047-fa0793b4,Balmoral Road/Sandringham Road,35,0.24648502672984568,0.6666666666666666
650-202,7999-a9fafecf,St Lukes Road/Sandringham Road,36,0.48662492170765315,1.2833333333333334
650-202,1077-b34e9b07,St Lukes Mega Centre,37,0.24584735670339503,0.5833333333333334
650-202,1881-82b64ad7,Lyon Avenue,38,0.3048071747581337,0.7166666666666667
650-202,8868-b5c5fd77,New North Road,39,0.6552448014726158,1.55
650-202,1845-3970bb1d,St Lukes Road/Asquith Avenue,40,0.6509154195097613,1.6833333333333333
650-202,8122-89235838,Western Springs Park & MOTAT,41,0.43734956392840807,1.0833333333333333
650-202,8124-c7d84961,Auckland Zoo,42,0.35220969274950753,0.85
650-202,8126-d353d90c,Pasadena Shops,43,0.21435861081853844,0.5166666666666667
650-202,8128-bec6b4a3,Walmer Road,44,0.21949464493850776,0.5333333333333333
650-202,8130-197d3cff,Great North Road/Pt Chevalier Shops,45,0.14373969838406048,0.48333333333333334
650-202,8019-c5ecbfa8,Pt Chevalier Road/Pt Chevalier Shops,46,0.2579841301226785,2.0166666666666666
650-202,8017-77e7b595,Alberta Street,47,0.29044312104888864,2.1166666666666667
650-202,8015-b729d704,Wakatipu Street,48,0.15153735804612675,1.4833333333333334
650-202,8020-82229584,Pt Chevalier Road/Walker Road,49,0.36558930419935465,2.6
650-202,8024-3c7d36e3,Muripara Avenue,50,0.1543844414359853,1.5166666666666666
650-202,8763-ea200826,Maranui Avenue,51,0.24051357516073274,1.9833333333333334
650-202,8080-7ba3ea22,Betty Pyatt Apartments,52,0.1554913296956524,1.2833333333333334
650-202,8766-a2d9be31,Selwyn Village,53,,
66-206,8000-7386a836,Coyle Park,1,0.22269044894473117,0.4166666666666667
66-206,8002-ce800e63,Johnstone Street,2,0.2475029950920758,0.4666666666666667
66-206,8004-66851f82,Oliver Street,3,0.29430562452117554,0.55
66-206,8006-154bc233,Dignan Steeet,4,0.20646386623052948,0.4166666666666667
66-206,8008-6aee982b,Point Chevalier School,5,0.18483306407501074,0.35
66-206,8010-6b74c8ff,Target Street,6,0.2419263436770952,0.45
66-206,8012-2fb1ac5e,Pt Chevalier Road/Walker Road,7,0.1735082875854583,0.31666666666666665
66-206,8014-87a63ba3,Wakatipu Street,8,0.3102418522725656,0.5833333333333334
66-206,8016-b34483b0,Alberta Street,9,0.244860635908788,0.45
66-206,8018-e3724964,Pt Chevalier Road/Pt Chevalier Shops,10,0.317684865334444,0.6166666666666667
66-206,8028-b18f6268,Mount Albert Unitec Entry 1,11,0.2409063419137837,0.4666666666666667
66-206,8030-d205ef00,Mount Albert Unitec Entry 2,12,0.30542737881351384,0.5833333333333334
66-206,8882-fb20a6d3,Mount Albert Unitec Entry 3,13,0.16482078587230337,0.3333333333333333
66-206,8032-0c1a3812,Gladstone Primary,14,0.39046110078532587,0.7833333333333333
66-206,8034-39f76bd5,Benfield Avenue,15,0.40163381085786265,0.7833333333333333
66-206,8812-8a1d3ceb,Mount Albert Presbyterian Church,16,0.30225838945913036,0.6
66-206,8814-f35a0854,Kitenui Avenue,17,0.2966319089816009,0.5833333333333334
66-206,8816-69ab520d,Owairaka/Mount Albert,18,0.31635898015465663,0.6166666666666667
66-206,8818-3eb17ea9,Alberton,19,0.3827227949300359,0.7666666666666667
66-206,8820-b6354f31,Mount Albert Road/Owairaka Avenue Shops,20,0.3737023618421106,0.7333333333333333
66-206,8822-b79a9810,Beagle Avenue,21,0.13919102931108862,0.2833333333333333
66-206,8824-7fe17f63,Duncan Avenue,22,0.30492412641729394,0.6166666666666667
66-206,8826-51f1d4f3,Mount Albert Road/Sandringham Road,23,0.3136648722208906,0.6333333333333333
66-206,8828-0f7d8c38,Wesley Methodist Church,24,0.32276049515125493,0.6166666666666667
66-206,8830-8aa1ba13,Mount Albert Road/Mons Avenue,25,0.19535249636231125,0.4
66-206,1868-d46448bb,May Road,26,0.29455164267174966,0.5666666666666667
66-206,8832-52e32612,Mount Albert Road/Dominion Road,27,0.21853501055628347,0.4166666666666667
66-206,8834-71f1f783,Dominion Road School,28,0.4752696430674345,0.8333333333333334
66-206,8836-fafcf68f,Scout Avenue,29,0.29258265578501574,0.5166666666666667
66-206,8838-0d396a71,Frost Road,30,0.17939278625579047,0.3333333333333333
66-206,8840-d694b2e9,Three Kings Plaza,31,0.34781658650853864,0.6166666666666667
66-206,8842-d9aa7604,Mount Eden Road,32,0.5427041165289186,0.95
66-206,8844-cab2ae83,Buckley Road/Mount Albert Road,33,0.31705020793344135,0.55
