route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
983-221,4983-42530230,Stop C Hibiscus Coast,1,-36.62406,174.66701,0.45493827160493827,0.25553209356061546
983-221,4835-5c329df9,Silverdale Rugby Club,2,-36.6227,174.66834,1.2304526748971192,0.6482123981297048
983-221,4502-ada3e6f9,Silverdale Shops,3,-36.61749,174.67661,0.6497942386831276,0.4058063335726085
983-221,4501-e031afd0,Silverdale Centre,4,-36.61469,174.67877,1.2804526748971194,0.6741296208928074
983-221,4540-9d9bc60b,Millwater Parkway/Hibiscus Coast Highway,5,-36.61263,174.68388,0.6016460905349794,0.31886348519512236
983-221,4912-855ced08,Totara Views Drive,6,-36.61154,174.68617,0.4520576131687243,0.27086105654777676
983-221,4839-73f7da56,Jelas Road,7,-36.6093,174.68732,0.8847736625514404,0.5190888175705337
983-221,4820-901e72f0,Pohutukawa Avenue,8,-36.60448,174.69121,0.8076131687242799,0.4233777898564642
983-221,4696-5d58353d,Fairway Road,9,-36.60336,174.69544,0.40329218106995884,0.21691510137664202
983-221,4694-e7803acf,Albatross Road,10,-36.60506,174.69714,0.5932098765432099,0.2627292358453
983-221,4692-fcab4097,Red Beach Shopping Centre,11,-36.60631,174.69808,0.7693415637860082,0.32864461300382763
983-221,4691-82c510d9,Red Beach School,12,-36.60929,174.70018,0.47654320987654325,0.19046725994023392
983-221,4690-88224a81,Albert Hall Drive/Red Beach Road,13,-36.60897,174.70175,0.5565843621399177,0.21590640643442047
983-221,4688-ad46d018,Albert Hall Drive/Bay Vista Drive,14,-36.60814,174.70261,0.6860082304526749,0.3093019099037636
983-221,4686-b633eb59,Lucy Foster Lane,15,-36.60572,174.70111,0.3436213991769547,0.11783106490572622
983-221,4685-5d0bcdde,Bay Street/Bay Vista Drive,16,-36.60476,174.7019,0.7022633744855967,0.30121355439815406
983-221,4683-bf6dbadf,Marie Avenue,17,-36.60452,174.70449,0.532716049382716,0.2572996118418671
983-221,4681-0e147b60,Bay Street/Marellen Drive,18,-36.60416,174.70791,1.353292181069959,0.5200184273506312
983-221,4676-1c3f8c07,Chelverton Terrace,19,-36.60794,174.71029,0.8094650205761317,0.3681790207481182
983-221,4678-7d1884e4,Marellen Drive/Whangaparaoa Road,20,-36.61093,174.70863,0.8407407407407407,0.38000611955603925
983-221,4666-c135ddca,Glenelg Road,21,-36.61303,174.71339,0.7203703703703704,0.29401486565602797
983-221,4774-5d412eaa,Hibiscus Coast Community RSA,22,-36.61442,174.71606,0.5197530864197532,0.24597256073917642
983-221,4772-f1665636,Springtime Crescent,23,-36.61436,174.71765,1.402880658436214,0.4629510968614679
983-221,4770-b96498c6,Brian Crescent,24,-36.61477,174.72137,0.6294238683127572,0.2888118294593479
983-221,4768-13acf187,Carento Way,25,-36.61719,174.72366,0.6965020576131687,0.31362291411862003
983-221,4766-2407a8da,Cooper Road,26,-36.61968,174.72604,0.5962962962962963,0.2934583655318178
983-221,4764-a05fc8ee,Lea Place,27,-36.6208,174.72928,0.7351851851851852,0.35690464976482233
983-221,4762-6110536a,Knott Road,28,-36.62224,174.7318,0.45699588477366254,0.21042227026713373
983-221,4760-fa0ae991,Joydon Place,29,-36.62317,174.73379,0.744238683127572,0.34232814618183277
983-221,4765-db0fe0f7,Langton Road/Vipond Road,30,-36.62575,174.73469,1.0543209876543211,0.4152101620616474
983-221,4654-2fab1aee,New World Whangaparaoa,31,-36.62872,174.73194,0.6718106995884774,0.33450348342100084
983-221,4652-aea4dd82,Penton Road,32,-36.63142,174.73641,0.7870370370370371,0.3605322535852152
983-221,4650-b1845360,Matai Road,33,-36.63318,174.73864,0.7860082304526749,0.3302370924852307
983-221,4648-b30e4d1f,Red Hibiscus Road,34,-36.63498,174.74246,0.7292181069958849,0.33927555550899446
983-221,4646-b8661041,Link Crescent,35,-36.63513,174.74597,0.8193415637860083,0.3618102344278156
983-221,4644-67f27b66,Coast Plaza,36,-36.63646,174.74877,0.6744855967078189,0.32885829054581484
983-221,4642-e8c55364,Whangaparaoa Road/Ladies Mile,37,-36.63888,174.75305,0.5543209876543209,0.23255680501514858
983-221,4732-91899b2a,Little Barrier Avenue,38,-36.63815,174.75437,0.5452674897119342,0.2234917403871736
983-221,4726-77ab1a4a,Whangaparaoa School,39,-36.63544,174.75432,0.6944444444444444,0.3023197681856849
983-221,4725-c8539b27,Kawau Island Avenue/Ladies Mile,40,-36.63272,174.75552,0.6975308641975309,0.2428056988830786
983-221,4722-1144d570,The Circle,41,-36.63173,174.75641,0.49691358024691357,0.23854714744745528
983-221,4720-b0354519,Manly Park Avenue/Laurence Street,42,-36.62936,174.75684,0.6781893004115226,0.2917283541565478
983-221,4719-59ac0dbd,Manly Park,43,-36.6295,174.76045,0.5236625514403291,0.25434137700343495
983-221,4717-20137b74,Cross Street,44,-36.62865,174.76296,0.41748971193415635,0.17673910712092922
983-221,4733-6f03f43e,Beach Road/Laurence Street,45,-36.62758,174.76555,0.6129629629629629,0.2829115820040053
983-221,4735-867effa6,Beach Road/Manly Shops,46,-36.63049,174.76402,1.2516460905349795,0.4890308960622233
983-221,4630-89b4ef18,Manly Fire Station,47,-36.63002,174.76639,1.2337448559670783,0.44290117733418966
983-221,4628-30c46a1f,Tindalls Bay Road,48,-36.62723,174.76919,1.1380658436213993,0.41838691446791904
983-221,4626-0035ffc8,Crown Road,49,-36.62387,174.77016,0.6934156378600823,0.1661466727813243
983-221,4624-1a5fd9b2,Hardley Avenue,50,-36.62166,174.77243,1.4851851851851852,0.5284778047796862
983-221,4622-a7c15dd1,Roberts Road,51,-36.61689,174.77393,3.2944444444444447,1.3489478875491043
983-221,4620-caf3d70f,Gulf Harbour Drive,52,-36.61193,174.77834,1.2466666666666666,0.4710737361878132
983-221,4715-a5cc8245,Kensington Terrace,53,-36.61081,174.78343,1.47875,0.5594203615193548
983-221,4713-dbff7b2e,Regency Park Drive,54,-36.61136,174.78966,0.7316666666666667,0.2693648059215463
983-221,4711-d2ee9fab,Wentworth College,55,-36.61355,174.79095,,
984-221,4984-7e5d17d4,Stop D Hibiscus Coast,1,-36.6243,174.66655,1.0092105263157896,0.2044423380377822
984-221,4835-5c329df9,Silverdale Rugby Club,2,-36.6227,174.66834,1.7482456140350877,0.6810630227588993
