route_id,stop_id,stop_name,stop_sequence
650-202,8766-a2d9be31,Selwyn Village,53
394-203,2850-3422d278,Pukekohe Station,1
394-203,2928-c49936fe,Pukekohe Library,2
394-203,2888-e045a4e2,Countdown Pukekohe,3
394-203,2832-70c5fb58,Reformed Church of Pukekohe,4
394-203,2844-c5c06611,St Joseph's Catholic School,5
394-203,2836-995003f2,Seddon Street/Paerata Road,6
394-203,2834-8e65768f,New World Pukekohe,7
394-203,2380-efbdf952,Butcher Road,8
394-203,2865-13391d53,Heights Road,9
394-203,2900-10702c0a,Anchor Road,10
394-203,2828-3a010db0,1048 Paerata Road,11
394-203,2822-7a7f3e5d,Crown Road,12
394-203,2854-6f600908,Paerata Road,13
394-203,2824-b9bf187d,Simmonds House Road,14
394-203,2826-23d3e76e,Paerata School,15
394-203,2716-29bbacfe,Papakura Station,16
11W-202,1005-c105552e,Stop D Lower Albert,1
11W-202,7030-621caa72,Victoria Street West,2
11W-202,7082-6e0c4fef,St Matthews-in-the-City,3
11W-202,7084-4da5d2dd,Nicholas Street,4
11W-202,1524-2e7e0ebb,YMCA,5
11W-202,7136-7b4dffe1,Rainbow Bridge/Karangahape Road,6
11W-202,8100-08cef0ad,Ponsonby Road,7
11W-202,8102-7250bcd8,Burns Street,8
11W-202,8104-8bfd88ba,Sussex Street,9
11W-202,8106-95c39e43,King Street,10
11W-202,8108-01016126,Bond Street,11
11W-202,8112-dbbd55df,St Joseph's Church,12
11W-202,8114-f4e4a02c,Great North Road/Grey Lynn Shops,13
11W-202,8118-170afaad,Great North Road/Grey Lynn School,14
11W-202,8120-1485cc06,Bullock Track,15
11W-202,8122-89235838,Western Springs Park & MOTAT,16
11W-202,8124-c7d84961,Auckland Zoo,17
11W-202,8126-d353d90c,Pasadena Shops,18
11W-202,8128-bec6b4a3,Walmer Road,19
11W-202,8130-197d3cff,Great North Road/Pt Chevalier Shops,20
11W-202,5061-8fccf5dd,Stop D Te Atatu Bus Interchange,21
11W-202,5935-65f6f8d2,Stop F Lincoln Bus Interchange,22
11W-202,5613-d8443403,RNZ Radio Masts,23
11W-202,5615-881dbbf0,Huruhuru Road,24
11W-202,5618-0fb24f71,Chorley Avenue,25
11W-202,5620-f26cdceb,Keegan Drive,26
11W-202,5622-746eab16,Dovey Place,27
11W-202,5601-8a075afb,Waimumu Road,28
11W-202,5599-369f5d78,Talmar Place,29
11W-202,5597-3164b496,Gallony Avenue,30
11W-202,5595-496ef321,7 Reynella Drive,31
11W-202,5625-9b8591ee,Faram Place,32
11W-202,1669-4bf968cf,Yule Place,33
11W-202,5567-b38a5324,Beauchamp Drive,34
11W-202,5565-373697bc,Royal Road/Don Buck Road roundabout,35
11W-202,5574-cbef2d00,Royal Road roundabout,36
11W-202,5902-ca8fa3d1,St Paul's School,37
11W-202,1548-470f42e7,Massey Leisure Centre,38
