route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
209-203,8103-aa6d2901,Burns Street,40,-36.86143,174.75049,0.5833333333333334,0.20291550972554567
209-203,8101-29d73840,Ponsonby Road,41,-36.86022,174.75198,1.3833333333333333,0.4836101741768651
209-203,7135-b1ba3584,Rainbow Bridge/Karangahape Road,42,-36.85805,174.75639,0.9,0.3169753484515533
209-203,7133-173774ea,Pitt Street,43,-36.85773,174.75968,0.8666666666666667,0.2984168651575325
209-203,7065-5235e1c6,Scotia Place,44,-36.85681,174.76179,1.1833333333333333,0.4148441641072708
209-203,7059-607e2a63,Auckland Town Hall,45,-36.85342,174.76334,1.2166666666666666,0.4256528022042413
209-203,7053-154c6c71,Wellesley Street,46,-36.8499,174.7649,1.05,0.3629601186927526
209-203,7049-24767414,Vulcan Lane,47,-36.84682,174.76591,,
22N-202,5906-0bdc14c3,Stop A New Lynn,1,-36.90909,174.68422,1.05,0.44341947385009595
22N-202,1546-33fd8055,Lynnmall - The Brickworks,2,-36.90705,174.68752,1.1,0.46544025117700066
22N-202,5779-c6aeef3f,Portage Road,3,-36.90401,174.688,1.4333333333333333,0.6025237915829598
22N-202,8151-20dc80d1,St Mary's School,4,-36.90131,174.69363,0.7833333333333333,0.32903870377498506
22N-202,1869-5e6c53e2,St Jude Street,5,-36.89919,174.69601,0.95,0.40161614206347207
22N-202,8149-2cc6f1a3,Stop A Avondale,6,-36.896,174.69695,0.6833333333333333,0.28542484575901034
22N-202,8539-95afc972,Stop C Avondale,7,-36.89452,174.69779,0.65,0.22386759466575687
22N-202,8537-f93532cb,Rosebank Road/Roberton Road,8,-36.89424,174.7001,0.5833333333333334,0.20009942800628905
22N-202,8334-d261b935,Avondale Islamic Centre,9,-36.89512,174.70101,1.3,0.4514683015085308
22N-202,8243-5e4fe57d,Soljak Place,10,-36.89531,174.70397,1.25,0.42513028316903445
22N-202,8241-19deb6c4,PAK'nSAVE Mount Albert,11,-36.89242,174.70684,1.8333333333333333,0.6315059809145686
22N-202,8237-96e22f8b,Elim Christian College,12,-36.88816,174.71129,0.6,0.20229365321250117
22N-202,8235-84061054,1028 New North Road,13,-36.88684,174.71264,1.1,0.3749288254117911
22N-202,8233-06339fbb,Mount Albert Station,14,-36.8843,174.7152,0.8666666666666667,0.2952427537985267
22N-202,8231-3cb68f51,Lloyd Avenue,15,-36.88251,174.71741,0.7833333333333333,0.27026275782434994
22N-202,8229-e4b26a1c,Ferndale House,16,-36.88193,174.7202,0.7,0.24221419659667004
22N-202,8227-eed5a8ab,Alice Wylie Reserve,17,-36.88113,174.72256,1.1666666666666667,0.39970954344716797
22N-202,8225-7506b2fe,Mount Albert War Memorial Reserve,18,-36.8796,174.72635,0.8,0.26945319737300544
22N-202,8863-401d9e85,New North Road,19,-36.87887,174.72857,1.8333333333333333,0.631542839614328
22N-202,8861-bb392a46,Morningside Drive/St Lukes Mall,20,-36.88165,174.7327,1.3833333333333333,0.4752005320162043
22N-202,7209-576cfe61,Leslie Avenue,21,-36.87804,174.73513,1.65,0.5643878793773744
22N-202,8215-a473457b,Morningside Shops,22,-36.87363,174.73727,1.2166666666666666,0.41889561987219104
22N-202,8213-7e021a72,Kingsland Avenue,23,-36.87282,174.74165,1.2833333333333334,0.44187182709817363
22N-202,8211-8a4f4ede,Kingsland Shops,24,-36.87166,174.74623,1.0166666666666666,0.34800657919536016
22N-202,8207-92af29ca,King Street,25,-36.86977,174.74881,0.6833333333333333,0.23770731493496616
22N-202,8205-eda192d2,George Street,26,-36.86878,174.75103,1.9166666666666667,0.6576440831009744
22N-202,8203-432ece34,Mount Eden,27,-36.86635,174.75748,0.7833333333333333,0.27017166563787165
22N-202,8201-82996d6d,Mount Eden Road,28,-36.8654,174.76007,1.1166666666666667,0.3827863445540832
22N-202,7151-93995941,Symonds Street/Upper Symonds Street,29,-36.86231,174.76132,1.8333333333333333,0.6281816162641961
22N-202,7149-6d6d1e99,Symonds Street/Karangahape Road,30,-36.85741,174.76449,1.1166666666666667,0.38395969152056186
22N-202,7143-d5592a9b,Stop D Auckland Universities,31,-36.85494,174.76725,0.8666666666666667,0.5937629478457965
22N-202,7006-35b88bbe,Lorne Street,32,-36.85107,174.76496,1.75,0.35531606711067526
22N-202,7040-82504c06,Wellesley Street/Hobson Street,33,-36.85004,174.76129,0.8666666666666667,0.2336222880608295
22N-202,1090-90cb0d20,Nelson Street,34,-36.84935,174.75892,1.05,0.36032348829705213
22N-202,7105-dec99d20,Dock Street,35,-36.84805,174.75703,,
22R-202,4308-b5e254d1,Copsey Place,1,-36.88288,174.68124,0.9166666666666666,0.3659612911688506
22R-202,8562-4741ff24,Rosebank Road corner,2,-36.88479,174.68205,0.5166666666666667,0.20976234537761068
22R-202,8564-ed179826,Waterton Place,3,-36.88561,174.68002,0.7166666666666667,0.2861398890212728
22R-202,8566-d05d7d7c,Esmeralda Avenue,4,-36.88716,174.67793,0.8166666666666667,0.3315592912139728
22R-202,8583-683933e7,Mead Street,5,-36.88892,174.67651,0.43333333333333335,0.17685168118619218
22R-202,1081-dbb1d74b,Maple Street,6,-36.88972,174.6781,0.4,0.16003163796998984
22R-202,1637-e2cc5418,Maire Street,7,-36.88959,174.67958,0.6,0.23961934883662628
22R-202,8579-e0f8bac3,Oregon Avenue,8,-36.88862,174.68187,0.5333333333333333,0.2158422585185421
22R-202,1639-2b968351,Rosebank Shops,9,-36.88777,174.68396,0.5333333333333333,0.22164792740692693
22R-202,8549-df9aef8d,Eastdale Reserve,10,-36.88839,174.68555,0.8666666666666667,0.34809744501863615
22R-202,8547-278f8ed7,Rosebank Road/Riversdale Road,11,-36.8908,174.68786,0.65,0.25927523110168904
22R-202,8545-aed7c410,Rosebank Road/Victor Street,12,-36.89247,174.68973,0.48333333333333334,0.19732934489611392
22R-202,8543-727fd737,Aspen Street,13,-36.89326,174.69144,0.8,0.31969923067004985
22R-202,1561-ef0d367d,Avondale Rest Home & Hospital,14,-36.89437,174.69466,0.3333333333333333,0.1359700128082815
22R-202,1441-3c2cada5,Avondale Shops,15,-36.8945,174.69607,0.4,0.162213965017914
22R-202,8539-95afc972,Stop C Avondale,16,-36.89452,174.69779,0.6333333333333333,0.22386759466575687
22R-202,8537-f93532cb,Rosebank Road/Roberton Road,17,-36.89424,174.7001,0.55,0.20009942800628905
22R-202,8334-d261b935,Avondale Islamic Centre,18,-36.89512,174.70101,1.2833333333333334,0.4514683015085308
22R-202,8243-5e4fe57d,Soljak Place,19,-36.89531,174.70397,1.2,0.42513028316903445
22R-202,8241-19deb6c4,PAK'nSAVE Mount Albert,20,-36.89242,174.70684,1.7833333333333334,0.6315059809145686
22R-202,8237-96e22f8b,Elim Christian College,21,-36.88816,174.71129,0.5666666666666667,0.20229365321250117
22R-202,8235-84061054,1028 New North Road,22,-36.88684,174.71264,1.0666666666666667,0.3749288254117911
22R-202,8233-06339fbb,Mount Albert Station,23,-36.8843,174.7152,0.8333333333333334,0.2952427537985267
22R-202,8231-3cb68f51,Lloyd Avenue,24,-36.88251,174.71741,0.7666666666666667,0.27026275782434994
22R-202,8229-e4b26a1c,Ferndale House,25,-36.88193,174.7202,0.6833333333333333,0.24221419659667004
22R-202,8227-eed5a8ab,Alice Wylie Reserve,26,-36.88113,174.72256,1.1333333333333333,0.39970954344716797
22R-202,8225-7506b2fe,Mount Albert War Memorial Reserve,27,-36.8796,174.72635,0.7666666666666667,0.26945319737300544
22R-202,8863-401d9e85,New North Road,28,-36.87887,174.72857,1.7666666666666666,0.631542839614328
22R-202,8861-bb392a46,Morningside Drive/St Lukes Mall,29,-36.88165,174.7327,1.35,0.4752005320162043
22R-202,7209-576cfe61,Leslie Avenue,30,-36.87804,174.73513,1.6,0.5643878793773744
22R-202,8215-a473457b,Morningside Shops,31,-36.87363,174.73727,1.1666666666666667,0.41889561987219104
22R-202,8213-7e021a72,Kingsland Avenue,32,-36.87282,174.74165,1.25,0.44187182709817363
22R-202,8211-8a4f4ede,Kingsland Shops,33,-36.87166,174.74623,0.9833333333333333,0.34800657919536016
22R-202,8207-92af29ca,King Street,34,-36.86977,174.74881,0.6666666666666666,0.23770731493496616
22R-202,8205-eda192d2,George Street,35,-36.86878,174.75103,1.85,0.6576440831009744
22R-202,8203-432ece34,Mount Eden,36,-36.86635,174.75748,0.7666666666666667,0.27017166563787165
22R-202,8201-82996d6d,Mount Eden Road,37,-36.8654,174.76007,1.0833333333333333,0.3827863445540832
22R-202,7151-93995941,Symonds Street/Upper Symonds Street,38,-36.86231,174.76132,1.7833333333333334,0.6281816162641961
22R-202,7149-6d6d1e99,Symonds Street/Karangahape Road,39,-36.85741,174.76449,1.0833333333333333,0.38395969152056186
22R-202,7143-d5592a9b,Stop D Auckland Universities,40,-36.85494,174.76725,0.8333333333333334,0.5937629478457965
22R-202,7006-35b88bbe,Lorne Street,41,-36.85107,174.76496,1.6833333333333333,0.35531606711067526
22R-202,7040-82504c06,Wellesley Street/Hobson Street,42,-36.85004,174.76129,0.85,0.2336222880608295
22R-202,1090-90cb0d20,Nelson Street,43,-36.84935,174.75892,1.0166666666666666,0.36032348829705213
22R-202,7105-dec99d20,Dock Street,44,-36.84805,174.75703,,
24B-202,5908-eb576903,Stop B New Lynn,1,-36.90925,174.68369,3.1666666666666665,1.2421581075914288
24B-202,8364-9d319116,Taylor Street/Wolverton Street,2,-36.91029,174.69458,0.8333333333333334,0.33372306441111294
24B-202,1466-4e74cd55,Taylor Street/Matata Street,3,-36.91286,174.69615,0.4,0.15931954416927183
24B-202,8368-372d74f6,Chaucer School,4,-36.91407,174.69691,0.5166666666666667,0.19815038680213526
24B-202,8370-525d082e,Taylor Street/Puketea Street,5,-36.91564,174.69785,0.7833333333333333,0.31042984933272577
24B-202,8372-05d4ca3f,122 Taylor Street,6,-36.91807,174.69939,1.3,0.5126361647554596
24B-202,8356-c674baad,Stop D Blockhouse Bay,7,-36.92213,174.70142,0.6166666666666667,0.2942343351155452
24B-202,8900-1cb62ea6,Iona Presbyterian Church,8,-36.92224,174.70388,0.6833333333333333,0.3248527028842697
24B-202,8902-8b9ceecc,Lewis Street,9,-36.92168,174.70735,0.4666666666666667,0.2259352645129922
24B-202,8904-0772737f,Francis Curtis Avenue,10,-36.92193,174.70976,0.4666666666666667,0.2174557393533448
24B-202,8906-56698df5,Lynbrooke Avenue,11,-36.92207,174.71206,0.7,0.33273060733575605
24B-202,8295-b27bcd47,Sunset Retirement Village,12,-36.92008,174.71377,0.45,0.21353850425271131
24B-202,8293-76cb1eaa,Lynfield College Sports Field,13,-36.91828,174.71446,0.9166666666666666,0.4408596759958311
24B-202,1767-a79400e6,Lanseer Place,14,-36.91455,174.71588,0.9166666666666666,0.4320772978980263
24B-202,8279-ee7f1740,New Windsor Shops,15,-36.91093,174.71683,0.65,0.3088819145511915
24B-202,8277-57be8658,Ted William Street,16,-36.90865,174.71497,0.6666666666666666,0.31439403826633444
24B-202,8272-f1e34985,New Windsor School,17,-36.90687,174.71455,0.7,0.3337952554397662
24B-202,8274-e1c68f23,Roseville Street,18,-36.90605,174.71815,2.1,1.005160252118263
24B-202,8265-05bdb445,Woolworths Mount Roskill,19,-36.90372,174.72728,0.6666666666666666,0.31812616735632177
24B-202,8325-2ea1027c,Wesley Intermediate School,20,-36.90261,174.72951,0.4166666666666667,0.20142693562888586
24B-202,8323-1a869f0e,Wesley Community Centre,21,-36.90117,174.73068,0.5833333333333334,0.27635018078605983
24B-202,8321-6fe0728c,Walmsley Park,22,-36.89896,174.73186,0.6833333333333333,0.3263839293908468
24B-202,8319-3c7b008d,Mount Albert Road,23,-36.89656,174.73378,0.5833333333333334,0.2784926652557405
24B-202,8317-0c5b8357,Parry Street,24,-36.89451,174.73535,0.7333333333333333,0.34888021904004524
24B-202,8315-8e4a4fc4,Sandringham Shops,25,-36.89177,174.73623,0.8166666666666667,0.28622884951559996
24B-202,8313-ec0c55f5,Edendale Reserve,26,-36.88937,174.73701,0.7166666666666667,0.25280688949839797
24B-202,8311-b71de2f3,Edendale Primary School,27,-36.88726,174.73769,0.5,0.17731339587089354
24B-202,8309-1ce9e07a,Sandringham Road/St Lukes Road,28,-36.88582,174.73815,0.9333333333333333,0.3299219260133778
24B-202,8307-a591b7dd,Aroha Avenue,29,-36.88303,174.73906,0.9,0.3185030182236558
24B-202,8305-8a132c54,Gribblehirst Park,30,-36.88034,174.73992,0.7333333333333333,0.26069743125418926
24B-202,8303-c5b65162,Ward Terrace,31,-36.87817,174.7406,1.1333333333333333,0.40651204849665223
24B-202,7167-b935b369,Eden Park,32,-36.87474,174.74174,0.8833333333333333,0.31150124641527815
